Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
1907417995,2021/01/21 05:15:00,SOEM1,13952,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3502-TN1.1,AMM 6PC,-51.1,U02f,U97a,1/4+,1
1907417995,2021/01/21 05:15:00,SOEM1,13952,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3502-TN1.1,AMM 6PC,-42.6,U02b,U03c,1/2+,1
1907417995,2021/01/21 05:15:00,SOEM1,13952,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3502-TN1.1,AMM 6PC,-41.0,U02d,U80a,1/6+,1
1907417995,2021/01/21 05:15:00,SOEM1,13952,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3502-TN1.1,AMM 6PC,-48.9,U02e,U79a,1/5+,1
1907417995,2021/01/21 05:15:00,SOEM1,13952,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3502-TN1.1,AMM 6PC,-58.9,TRMA,TRMB,1/3+,1
192449802,2021/01/21 05:15:00,SOEM1,14069,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TPOS02(TP4280).1,AMM 2PB,-44.5,TPS2,T06c,1/2+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-53.3,ET3b,N22c,1/3+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-48.9,ET3b,N22c,1/2+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/18.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-48.2,ET3g,E04c,1/18+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-43.8,ET3i,G13b,1/15+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-48.9,ET3f,ET5b,1/14+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-50.4,ET3c,E08b,1/4+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-99.9,ET3j,E05b,1/6+,1
1512711310,2021/01/21 05:15:00,SOEM1,13984,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT03-TN2.1,AMM 20PB,-43.5,ET3d,E06b,1/5+,1
-1833945920,2021/01/21 05:15:00,SOEM1,14056,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-SO4100-SOB01-TN1-Metro.1,AMM 20PB,-57.6,SB1b,ST4b,1/3+,1
-1833945920,2021/01/21 05:15:00,SOEM1,14056,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-SO4100-SOB01-TN1-Metro.1,AMM 20PB,-50.7,SB1b,ST4b,1/2+,1
-1833945920,2021/01/21 05:15:00,SOEM1,14056,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-SO4100-SOB01-TN1-Metro.1,AMM 20PB,-36.9,VB1r,VT2r,1/8+,1
