NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,5517,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5281-TN2.1,AMM 6PC,-,-47.6,0.0,0,h81a,524b,-
SOEM1,5494,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL0079.1,AMM 20PB,-,-40.1,0.0,0,----,----,-
SOEM1,5494,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL0079.1,AMM 20PB,-,-42.3,0.0,0,----,----,-
SOEM1,5494,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-AL0079.1,AMM 20PB,-,-42.3,-42.9,0,p79f,505e,-
SOEM1,5502,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3509.1,AMM 20PB,-,-49.2,-49.1,0,U09b,UT1l,-
SOEM1,5502,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3509.1,AMM 20PB,-,-48.5,0.0,0,----,----,-
SOEM1,5502,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3509.1,AMM 20PB,-,-47.9,-47.7,0,U09v,U76g,-
SOEM1,5502,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3509.1,AMM 20PB,-,-50.7,-50.6,0,U09c,UT1m,-
SOEM1,5488,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1694.1,AMM 6PC,-,-49.5,-49.9,0,A94c,684a,-
SOEM1,5513,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ME2717.1,AMM 2PB,-,-47.3,-47.3,0,r17a,M20c,-
SOEM1,5503,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1263.1,AMM 6PC,-,-50.1,0.0,0,----,----,-
SOEM1,5503,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1263.1,AMM 6PC,-,-49.5,-49.4,0,363b,3B1k,-
SOEM1,5507,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BO1015.1,AMM 2PB,-,-42.0,0.0,0,----,----,-
SOEM1,5515,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN1-AL1641.1,AMM 6PC,-,-31.9,0.0,0,----,----,-
SOEM1,5515,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN1-AL1641.1,AMM 6PC,-,-32.9,-32.8,0,A41d,A50c,-
SOEM1,5504,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5187.1,AMM 2PB,-,-42.3,0.0,0,487a,A02b,-
SOEM1,5524,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1651.1,AMM 6PC,-,-91.8,0.0,0,A51d,AP6a,-
SOEM1,5524,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1651.1,AMM 6PC,-,-49.5,0.0,0,----,----,-
SOEM1,5348,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN1-TE1233.1,AMM 2PB,-,-56.4,-55.9,0,333b,320c,-
SOEM1,5535,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BB4604.1,AMM 2PB,-,-47.0,-47.2,0,d04a,D17a,-
SOEM1,5529,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BB3437.1,AMM 2PB,-,-47.0,0.0,0,----,----,-
SOEM1,5531,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BB3425-TN2.1,AMM 2PB,-,-42.3,0.0,0,----,----,-
SOEM1,5578,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-SK4527.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5259,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0996.1,AMM 20PB,-,-38.5,-38.6,0,B96j,B81k,-
SOEM1,5259,F17/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0996.1,AMM 20PB,-,-36.0,0.0,0,----,----,-
SOEM1,5530,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BB3423.1,AMM 2PB,-,-47.9,0.0,0,----,----,-
SOEM1,5523,F9/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6246.1,AMM 20PB,-,-47.6,0.0,0,----,----,-
SOEM1,5523,F7/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6246.1,AMM 20PB,-,-46.0,0.0,0,----,----,-
SOEM1,5523,1/13.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6246.1,AMM 20PB,-,-36.9,-36.8,0,h46d,644g,-
SOEM1,5523,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6246.1,AMM 20PB,-,-36.3,-35.9,0,h46h,ATJd,-
SOEM1,5551,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-SE3800.1,AMM 2PB,-,-42.0,-41.8,0,s00b,860c,-
SOEM1,5538,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-SE3830.1,AMM 2PB,-,-36.6,0.0,0,----,----,-
SOEM1,5602,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-OB0425-TN2.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5595,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-BA5870.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5586,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-SK2142.1,AMM 2PB,-,-99.9,0.0,0,K42b,KT6l,PM Failure - NE PM data is invalid
SOEM1,5611,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AN2396.1,AMM 2PB,-,-42.6,0.0,0,----,----,-
SOEM1,5615,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-SE1918.1,AMM 6PC,-,-46.0,0.0,0,----,----,-
SOEM1,5625,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN1-AL2037.1,AMM 2PB,-,-48.5,0.0,0,----,----,-
